merchant_id,merchant_name,mcc,mcc_imputed,merchant_category,business_type,city,state,onboarding_date,settlement_account_on_file,merchant_status,declared_avg_ticket_size,declared_avg_ticket_size_was_negative
MCH3189,Kapoor-Hegde,5411,False,Grocery,Partnership,Hyderabad,Telangana,2023-02-01 03:59:34,True,ACTIVE,3153.88,False
MCH2978,Deshpande LLC,7011,False,Hotel & Lodging,Private Limited,Lucknow,Uttar Pradesh,2023-02-01 23:57:31,True,ACTIVE,194.6,False
MCH7955,"Andra, Oommen and Salvi",5699,False,Apparel & Fashion,Partnership,Amritsar,Punjab,2023-02-02 00:00:00,True,ACTIVE,2313.71,True
MCH5036,Buch Inc,5942,False,Books & Stationery,Partnership,Chennai,Tamil Nadu,2023-02-02 00:00:00,True,ACTIVE,1529.39,False
MCH2007,"MAHAL, DIVAN AND SHARAF",5999,False,Retail - Other,Sole Proprietorship,Jalandhar,Punjab,2023-02-02 22:14:37,True,ACTIVE,435.32,False
MCH9537,"Kohli, Bedi and Khatri",5812,False,Restaurants & Food Service,Partnership,Lucknow,Uttar Pradesh,2023-02-03 00:00:00,True,ACTIVE,2200.76,True
MCH9196,"Dani, Palla and Ramachandran",7011,False,Hotel & Lodging,Sole Proprietorship,Hyderabad,Telangana,2023-02-04 00:00:00,True,ACTIVE,403.86,False
MCH9035,Merchant PLC,5411,False,Grocery,Private Limited,Jaipur,Rajasthan,2023-02-04 00:00:00,True,ACTIVE,1280.34,True
MCH5375,"Zacharia, Krishnamurthy and Talwar",5699,False,Apparel & Fashion,Individual,Pune,Maharashtra,2023-02-04 11:37:21,True,ACTIVE,872.85,True
MCH4427,Deshpande LLC,5812,False,Restaurants & Food Service,Private Limited,Mumbai,Maharashtra,2023-02-05 00:00:00,True,ACTIVE,1587.13,False
MCH4936,Batra-Patla,4814,False,Telecom & Mobile,Individual,Mumbai,Maharashtra,2023-02-05 00:00:00,True,ACTIVE,2064.79,False
MCH9431,Madan-Kota,4131,False,Transportation & Travel,Private Limited,Bengaluru,Karnataka,2023-02-05 00:00:00,True,ACTIVE,436.79,False
MCH8521,Rao Ltd,5812,False,Restaurants & Food Service,Sole Proprietorship,Jaipur,Rajasthan,2023-02-05 00:00:00,True,SUSPENDED,2388.44,False
MCH5851,Sani Ltd,5999,False,Retail - Other,Partnership,Jaipur,Rajasthan,2023-02-06 00:00:00,True,ACTIVE,1306.04,False
MCH8341,Jha Ltd,4814,False,Telecom & Mobile,Private Limited,Chennai,Tamil Nadu,2023-02-07 18:23:55,True,ACTIVE,2211.95,False
MCH2074,"Kaur, Minhas and Ramakrishnan",5411,False,Grocery,Sole Proprietorship,Hyderabad,Telangana,2023-02-08 00:00:00,True,ACTIVE,5123.0,False
MCH5441,Sur Group,5411,False,Grocery,Private Limited,Ludhiana,Punjab,2023-02-08 00:00:00,True,ACTIVE,1094.34,False
MCH8826,Mallick-Dasgupta,5311,False,Department Store,Private Limited,Jalandhar,Punjab,2023-02-09 07:13:10,True,ACTIVE,1719.24,False
MCH2423,Ratti-Gupta,4131,False,Transportation & Travel,Private Limited,Hyderabad,Telangana,2023-02-09 07:16:00,True,ACTIVE,1549.78,False
MCH5822,Gandhi-Krish,5311,False,Retail - Other,Sole Proprietorship,Bengaluru,Karnataka,2023-02-10 00:00:00,True,ACTIVE,1268.39,False
MCH8372,Parsa-Chokshi,4814,False,Telecom & Mobile,Private Limited,Amritsar,Punjab,2023-02-10 09:57:00,True,ACTIVE,714.9,False
MCH2139,"Bali, Mahajan and Oza",5942,False,Books & Stationery,Sole Proprietorship,Bengaluru,Karnataka,2023-02-12 00:00:00,True,ACTIVE,512.11,False
MCH9977,Mohanty-Desai,4814,False,Telecom & Mobile,Sole Proprietorship,Mumbai,Maharashtra,2023-02-13 00:00:00,True,ACTIVE,845.52,False
MCH4529,Wali LLC,5999,False,Retail - Other,Sole Proprietorship,Delhi,Delhi,2023-02-13 00:00:00,True,SUSPENDED,468.55,False
MCH7471,DASS LLC,5812,False,Restaurants & Food Service,Sole Proprietorship,Lucknow,Uttar Pradesh,2023-02-14 00:00:00,True,ACTIVE,390.54,False
MCH2478,"Bala, Sane and Som",5699,False,Apparel & Fashion,Sole Proprietorship,Hyderabad,Telangana,2023-02-15 00:00:00,True,ACTIVE,911.53,False
MCH7978,"Ganesan, Kohli and Savant",5999,False,Retail - Other,Individual,Jaipur,Rajasthan,2023-02-15 00:00:00,True,ACTIVE,2414.03,False
MCH7198,Rama and Sons,5912,False,Pharmacy & Medical,Partnership,Jaipur,Rajasthan,2023-02-15 00:00:00,True,ACTIVE,1594.96,False
MCH8976,PRAKASH PLC,5699,False,Apparel & Fashion,Sole Proprietorship,Jalandhar,Punjab,2023-02-15 00:00:00,True,SUSPENDED,1358.57,False
MCH2440,Hans-Master,7011,False,Hotel & Lodging,Sole Proprietorship,Ludhiana,Punjab,2023-02-15 11:47:00,True,ACTIVE,1395.0,False
MCH7803,Mukherjee-Sha,4814,False,Telecom & Mobile,Private Limited,Jaipur,Rajasthan,2023-02-16 00:00:00,True,ACTIVE,763.0,False
MCH3404,"parekh, lad and soman",5311,False,Department Store,Individual,Mumbai,Maharashtra,2023-02-16 00:00:00,True,ACTIVE,1405.46,True
MCH5354,Datta-Vala,5812,False,Restaurants & Food Service,Partnership,Ludhiana,Punjab,2023-02-16 01:25:53,True,ACTIVE,2213.0,False
MCH6651,"Mahajan, Vig and Balakrishnan",5411,False,Grocery,Partnership,Delhi,Delhi,2023-02-17 00:00:00,True,ACTIVE,1407.45,False
MCH2816,Behl Group,5812,False,Restaurants & Food Service,Sole Proprietorship,Amritsar,Punjab,2023-02-17 00:00:00,True,CLOSED,5297.33,False
MCH9990,Mishra Inc,5912,False,Pharmacy & Medical,Private Limited,Mumbai,Maharashtra,2023-02-18 00:00:00,True,ACTIVE,970.05,False
MCH9909,CHAR-MOHANTY,5999,False,Retail - Other,Partnership,Delhi,Delhi,2023-02-18 05:54:00,True,ACTIVE,1739.69,False
MCH9782,Bhardwaj-Varghese,4131,False,Transportation & Travel,Individual,Ludhiana,Punjab,2023-02-18 14:33:29,True,ACTIVE,1522.0,False
MCH3805,Issac-Munshi,5999,False,Retail - Other,Private Limited,Bengaluru,Karnataka,2023-02-19 00:00:00,True,ACTIVE,7651.0,False
MCH5798,DIVAN-MAHAL,5812,False,Restaurants & Food Service,Individual,Jaipur,Rajasthan,2023-02-19 00:00:00,True,ACTIVE,110.98,False
MCH8999,Babu and Sons,7011,False,Hotel & Lodging,Private Limited,Jaipur,Rajasthan,2023-02-19 00:00:00,True,ACTIVE,1204.0,False
MCH8312,"Ramanathan, Andra and Sarma",5912,False,Pharmacy & Medical,Partnership,Lucknow,Uttar Pradesh,2023-02-20 00:00:00,True,ACTIVE,1966.71,True
MCH9370,Mallick-Gola,5999,False,Retail - Other,Private Limited,Jaipur,Rajasthan,2023-02-20 00:00:00,True,ACTIVE,4284.71,False
MCH3490,Sachdev-Din,5411,False,Grocery,Individual,Delhi,Delhi,2023-02-21 00:00:00,True,BLOCKED,570.0,False
MCH5217,Swamy Ltd,5411,False,Grocery,Private Limited,Kolkata,West Bengal,2023-02-22 00:00:00,True,ACTIVE,1618.62,False
MCH6944,Amb1e-Duga1,4131,False,Retail - Other,Individual,Mumbai,Maharashtra,2023-02-22 00:00:00,True,ACTIVE,1017.42,False
MCH3285,"Prasad, Luthra and Suri",5311,False,Retail - Other,Partnership,Bengaluru,Karnataka,2023-02-22 00:00:00,True,ACTIVE,669.58,False
MCH7549,Narayan PLC,7011,False,Hotel & Lodging,Sole Proprietorship,Kolkata,West Bengal,2023-02-22 04:38:14,True,CLOSED,2720.0,False
MCH2056,"Kadakia, Nagi and Ramakrishnan",5699,False,Apparel & Fashion,Sole Proprietorship,Mumbai,Maharashtra,2023-02-23 00:00:00,True,ACTIVE,2168.0,False
MCH2120,Vohra-Kashyap,4814,False,Telecom & Mobile,Individual,Jaipur,Rajasthan,2023-02-23 03:10:46,True,ACTIVE,2514.21,False
MCH7868,Ah1uwa1ia Inc,5812,False,Restaurants & Food Service,Private Limited,Hyderabad,Telangana,2023-02-24 00:00:00,True,INACTIVE,4268.0,True
MCH8431,"Bail, Sura and Misra",5411,False,Grocery,Partnership,Lucknow,Uttar Pradesh,2023-02-24 00:00:00,True,ACTIVE,6861.27,False
MCH3274,Sen-Chawla,5311,False,Department Store,Private Limited,Chennai,Tamil Nadu,2023-02-25 00:00:00,True,ACTIVE,1472.57,True
MCH7987,Mangat-Sundaram,5912,False,Pharmacy & Medical,Individual,Chennai,Tamil Nadu,2023-02-25 00:00:00,True,ACTIVE,2275.51,True
MCH8953,Sibal Group,5699,False,Apparel & Fashion,Partnership,Kolkata,West Bengal,2023-02-28 00:00:00,True,SUSPENDED,1723.81,False
MCH7202,UPPAL PLC,4131,False,Transportation & Travel,Individual,Jaipur,Rajasthan,2023-03-01 00:00:00,True,INACTIVE,1350.11,True
MCH9246,"Krishna, Wable and Kanda",4814,False,Telecom & Mobile,Sole Proprietorship,Pune,Maharashtra,2023-03-01 00:00:00,True,ACTIVE,859.77,False
MCH9143,Prakash Inc,5812,False,Restaurants & Food Service,Partnership,Lucknow,Uttar Pradesh,2023-03-02 00:00:00,True,ACTIVE,1791.89,False
MCH2067,"Barad, Rai and Kapur",5411,False,Grocery,Private Limited,Jaipur,Rajasthan,2023-03-04 00:00:00,True,ACTIVE,999.18,False
MCH5409,Buch Inc,5699,False,Apparel & Fashion,Sole Proprietorship,Amritsar,Punjab,2023-03-04 00:10:00,True,ACTIVE,922.0,False
MCH3272,Gera Group,5699,False,Apparel & Fashion,Sole Proprietorship,Chennai,Tamil Nadu,2023-03-04 12:44:00,True,ACTIVE,2272.01,False
MCH8456,Srinivasan and Sons,5411,False,Grocery,Individual,Jalandhar,Punjab,2023-03-04 13:45:00,True,ACTIVE,3454.0,False
MCH7635,Pant and Sons,7011,False,Hotel & Lodging,Individual,Jalandhar,Punjab,2023-03-04 20:51:37,True,ACTIVE,4941.43,False
MCH3945,Mukhopadhyay-Raghavan,4131,False,Transportation & Travel,Sole Proprietorship,Mumbai,Maharashtra,2023-03-05 00:00:00,True,ACTIVE,942.71,False
MCH7185,Krishnamurthy PLC,5942,False,Books & Stationery,Sole Proprietorship,Jaipur,Rajasthan,2023-03-06 00:00:00,True,CLOSED,1581.12,False
MCH5631,CHADA-BUCH,7011,False,Hotel & Lodging,Sole Proprietorship,Lucknow,Uttar Pradesh,2023-03-06 00:00:00,True,BLOCKED,2202.48,False
MCH6722,Khalsa-Kapadia,5912,False,Pharmacy & Medical,Partnership,Bengaluru,Karnataka,2023-03-06 00:00:00,True,ACTIVE,2042.78,False
MCH7379,"Doctor, Dyal and Vaidya",5912,False,Pharmacy & Medical,Partnership,Jalandhar,Punjab,2023-03-07 00:00:00,True,ACTIVE,198.46,False
MCH2704,Sengupta-Sarin,5699,False,Apparel & Fashion,Private Limited,Pune,Maharashtra,2023-03-08 07:11:36,True,ACTIVE,2593.67,False
MCH9154,"Mangat, Sarkar and Vasa",5311,False,Retail - Other,Sole Proprietorship,Hyderabad,Telangana,2023-03-09 00:00:00,True,ACTIVE,1303.87,False
MCH9242,"Kadakia, Yadav and Seshadri",7011,False,Hotel & Lodging,Partnership,Hyderabad,Telangana,2023-03-10 00:00:00,True,SUSPENDED,1024.36,False
MCH9049,"Badami, Pathak and Murty",5912,False,Pharmacy & Medical,Partnership,Pune,Maharashtra,2023-03-10 00:00:00,True,ACTIVE,2072.82,True
MCH8281,Tara-Mander,4131,False,Retail - Other,Private Limited,Pune,Maharashtra,2023-03-11 00:00:00,True,ACTIVE,3216.91,False
MCH4886,Mangat-Gh0se,5999,False,Retail - Other,Sole Proprietorship,Pune,Maharashtra,2023-03-11 00:00:00,True,ACTIVE,551.0,False
MCH7162,panchal-ratti,5411,False,Grocery,Private Limited,Delhi,Delhi,2023-03-11 00:12:00,True,ACTIVE,1176.97,False
MCH5974,Padmanabhan LLC,5812,False,Restaurants & Food Service,Individual,Lucknow,Uttar Pradesh,2023-03-11 10:03:46,True,ACTIVE,1194.0,False
MCH2979,"Kurian, Guha and Gaba",5999,False,Retail - Other,Individual,Chennai,Tamil Nadu,2023-03-11 13:48:16,True,ACTIVE,7883.21,False
MCH2746,"tella, mane and pillai",7011,False,Hotel & Lodging,Private Limited,Ludhiana,Punjab,2023-03-12 00:00:00,True,CLOSED,395.56,False
MCH5001,Prabhakar-Badami,5699,False,Apparel & Fashion,Sole Proprietorship,Kolkata,West Bengal,2023-03-12 00:00:00,True,ACTIVE,4621.27,False
MCH3143,"ZACHARIA, BUCH AND YADAV",5311,False,Department Store,Partnership,Hyderabad,Telangana,2023-03-13 00:00:00,True,ACTIVE,4822.0,False
MCH8799,"Tailor,RattiandAnne",5912,False,Pharmacy & Medical,Sole Proprietorship,Kolkata,West Bengal,2023-03-13 00:00:00,True,SUSPENDED,1556.57,False
MCH9325,"Patel, Parikh and Kaul",4814,False,Telecom & Mobile,Private Limited,Lucknow,Uttar Pradesh,2023-03-13 00:58:46,True,ACTIVE,1538.45,False
