complaint_id,txn_id,txn_id_valid_fk,user_id,user_id_valid_fk,merchant_id,merchant_id_valid_fk,transaction_timestamp,reported_timestamp,bank_response_timestamp,timestamps_logically_valid,reporting_delay_days,disputed_amount,disputed_amount_was_negative,disputed_amount_missing,reason_code,reason_code_raw,complaint_text,resolution_status,severity,channel
CBK0001147,TXN00002456,True,USR89588,False,MCH2614,False,2026-02-10 03:16:00,2026-02-12 00:00:00,2026-03-12 14:16:00,True,1.0,1805.23,False,False,DUPLICATE_DEBIT,double debit,customer says amount was debited twice.,IN_PROGRESS,LOW,CHATBOT
CBK0001137,TXN00015627,True,USR35882,False,MCH8913,False,2026-01-21 01:07:00,2026-01-21 00:00:00,2026-02-06 08:07:54,False,,4853.7,False,False,GENERAL_DISPUTE,dispute raised,Customer says amount was debited twice.,RESOLVED,MEDIUM,CHATBOT
CBK0002213,TXN00009870,True,USR79046,True,MCH8457,False,2026-01-02 00:00:00,2026-02-17 00:00:00,,True,46.0,12334.0,False,False,SERVICE_NOT_DELIVERED,Merchant Not Delivered,Merchant service was not delivered after payment.,IN_PROGRESS,MEDIUM,IVR
CBK0000946,TXN00013141,True,USR22644,True,MCH9193,True,2026-01-26 00:00:00,2026-01-31 14:01:41,,True,5.0,7638.7,False,False,FRAUD_SUSPECTED,Fraud Suspected,MERCHANT SERVICE WAS NOT DELIVERED AFTER PAYMENT.,IN_PROGRESS,CRITICAL,EMAIL
CBK0002366,TXN00012165,True,USR98915,False,MCH6399,False,2026-02-20 00:00:00,2026-02-20 00:00:00,2026-02-23 21:48:00,True,0.0,,False,True,FRAUD_SUSPECTED,fraud,Customer says transaction was not authorized.,IN_PROGRESS,LOW,CALL_CENTER
CBK0002026,TXN00019737,True,USR27262,True,MCH4852,False,2026-01-13 00:00:00,2026-01-23 00:00:00,2026-02-11 19:25:13,True,10.0,174.11,False,False,DUPLICATE_DEBIT,charged twice,Merchant service was not delivered after payment.,RESOLVED,MEDIUM,IVR
CBK0001099,TXN00011289,True,USR94570,False,MCH4545,False,2026-01-30 04:49:00,2026-02-04 00:00:00,2026-02-28 00:00:00,True,4.0,305.0,False,False,ACCOUNT_TAKEOVER,Account Takeover,Payment made to unknown merchant as per customer statement.,CLOSED,CRITICAL,IVR
CBK0001197,TXN00006253,True,USR19220,False,MCH7286,False,2026-01-08 00:00:00,2026-01-10 00:00:00,2026-01-20 14:43:26,True,2.0,4952.0,False,False,GENERAL_DISPUTE,dispute raised,Complaint received after multiple failed attempts.,REJECTED,MEDIUM,CHATBOT
CBK0002347,TXN00010961,True,USR55439,True,MCH7581,True,2026-02-13 00:00:00,2026-03-15 00:00:00,,True,30.0,1126.18,False,False,AMOUNT_MISMATCH,Wrong Amount,Customer says transaction was not authorized.,REJECTED,LOW,BRANCH
CBK0000289,TXN00005764,True,USR38028,True,MCH6758,True,2026-03-12 23:03:00,,,True,,513.84,False,False,FRAUD_SUSPECTED,Fraud Suspected,User claims account was compromised before transaction.,REJECTED,MEDIUM,CHATBOT
CBK0002002,TXN00010298,True,USR97772,True,MCH5269,True,2026-01-03 00:00:00,2026-01-08 00:00:00,2026-02-03 23:32:04,True,5.0,534.44,False,False,SERVICE_NOT_DELIVERED,service failed,Merchant service was not delivered after payment. urgent,IN_PROGRESS,CRITICAL,CHATBOT
CBK0000512,TXN00014054,True,USR27947,True,MCH7667,True,2026-01-21 00:00:00,2026-01-26 00:00:00,2026-01-30 00:00:00,True,5.0,4010.97,False,False,UNAUTHORIZED_TRANSACTION,Unauthorized Transaction,Customer says amount was debited twice.,CLOSED,LOW,CHATBOT
CBK0001155,TXN00010146,True,USR94690,True,MCH3957,False,2026-02-09 19:16:42,,2026-02-23 06:16:42,True,,2637.93,False,False,UNAUTHORIZED_TRANSACTION,unauthorized_transaction,Payment made to unknown merchant as per customer statement.,IN_PROGRESS,MEDIUM,IVR
CBK0001330,TXN00005940,True,USR67471,False,MCH8738,False,2026-03-14 00:34:00,2026-03-15 12:34:00,2026-03-27 00:00:00,True,1.0,1360.01,False,False,GENERAL_DISPUTE,DUP_DEBIT,Suspicious high-value payment disputed by customer.,PENDING_BANK,MEDIUM,CHATBOT
CBK0000259,TXN00017504,True,USR24872,True,MCH9291,True,2026-01-22 00:00:00,2026-01-30 09:27:00,2026-02-13 00:00:00,True,8.0,12647.35,False,False,UNAUTHORIZED_TRANSACTION,unauthorized_transaction,merchant service was not delivered after payment.,IN_PROGRESS,LOW,CHATBOT
CBK0000164,TXN00010786,True,USR79443,False,MCH3729,False,2026-01-08 02:00:24,2026-01-18 00:00:00,2026-01-23 04:00:24,True,9.0,,False,True,DUPLICATE_DEBIT,charged twice,Payment made to unknown merchant as per customer statement.,CLOSED,MEDIUM,IVR
CBK0000681,TXN00006290,True,USR89588,False,MCH9105,False,2026-01-28 00:00:00,2026-02-02 00:00:00,2026-02-28 00:00:00,True,5.0,,False,True,AMOUNT_MISMATCH,extra amount deducted,Merchant service was not delivered after payment.,REJECTED,LOW,IVR
CBK0002683,TXN00004094,True,USR73891,False,MCH8154,True,2026-01-08 00:00:00,2026-01-06 00:00:00,2026-01-21 00:00:00,False,,2519.45,False,False,AMOUNT_MISMATCH,incorrect amount,suspicious high-value payment disputed by customer.,IN_PROGRESS,HIGH,IVR
CBK0002792,TXN00005061,True,USR22154,True,MCH9022,True,2026-02-28 13:16:03,2026-03-02 00:00:00,2026-03-30 00:00:00,True,1.0,1535.65,False,False,ACCOUNT_TAKEOVER,account hacked,Customer says amount was debited twice.,REJECTED,HIGH,CHATBOT
CBK0000594,TXN00065742,False,USR32980,False,MCH7020,True,2026-02-19 00:00:00,,2026-02-24 00:00:00,True,,470.0,False,False,SERVICE_NOT_DELIVERED,Merchant Not Delivered,suspicious high-value payment disputed by customer.,CLOSED,MEDIUM,EMAIL
CBK0001247,TXN00003165,True,USR41524,False,MCH2342,False,2026-01-04 00:00:00,2026-01-09 00:00:00,2026-02-03 00:00:00,True,5.0,2714.54,False,False,FRAUD_SUSPECTED,scam,Suspicious high-value payment disputed by customer.,RESOLVED,MEDIUM,CALL_CENTER
CBK0000566,TXN00000086,True,USR11727,False,MCH4948,True,2026-02-23 00:00:00,2026-02-24 02:13:00,2026-03-15 00:00:00,True,1.0,411.83,False,False,UNAUTHORIZED_TRANSACTION,unauth txn,User says UPI PIN was not entered by them.,REJECTED,HIGH,CHATBOT
CBK0002764,TXN00014418,True,USR71468,True,MCH6403,True,2026-03-03 00:00:00,2026-03-05 00:00:00,,True,2.0,1393.43,False,False,SERVICE_NOT_DELIVERED,Service Not Provided,customer complaint text unclear due to poor call center notes.,PENDING_BANK,MEDIUM,EMAIL
CBK0000023,TXN00001464,True,USR92751,False,MCH2757,True,2026-03-14 00:00:00,2026-04-13 00:00:00,2026-04-16 00:00:00,True,30.0,1112.83,False,False,SERVICE_NOT_DELIVERED,Merchant Not Delivered,MERCHANT SERVICE WAS NOT DELIVERED AFTER PAYMENT.,RESOLVED,MEDIUM,IVR
CBK0000361,TXN00012527,True,USR24926,True,MCH7438,False,2026-02-14 00:00:00,2026-02-16 18:13:57,,True,2.0,2311.0,False,False,DUPLICATE_DEBIT,Duplicate Debit,User claims account was compromised before transaction.,CLOSED,LOW,IVR
CBK0002544,TXN00018727,True,USR27888,False,MCH5076,False,2026-03-20 01:26:11,2026-03-25 00:00:00,2026-04-24 20:26:11,True,4.0,10161.06,False,False,SERVICE_NOT_DELIVERED,delivery issue,merchant service was not delivered after payment.,OPEN,HIGH,CHATBOT
CBK0000430,TXN00018881,True,USR47299,True,MCH3382,True,2026-02-11 03:20:31,2026-02-26 00:00:00,2026-03-23 06:20:31,True,14.0,2108.9,False,False,FRAUD_SUSPECTED,fraud,Merchant service was not delivered after payment. urgent,IN_PROGRESS,HIGH,IVR
CBK0001264,TXN00008143,True,USR92737,True,MCH4183,False,2026-03-22 17:21:29,2026-03-25 22:21:00,,True,3.0,240.64,False,False,UNAUTHORIZED_TRANSACTION,unauth txn,Merchant service was not delivered after payment.,OPEN,LOW,IVR
CBK0001919,TXN00005826,True,USR72795,True,MCH2259,False,2026-01-31 00:00:00,2026-02-04 14:03:00,2026-02-08 00:00:00,True,4.0,1770.58,False,False,ACCOUNT_TAKEOVER,login compromised,Merchant service was not delivered after payment.,REJECTED,CRITICAL,IVR
CBK0000069,TXN00002744,True,USR21384,False,MCH4252,False,2026-01-15 01:24:40,,2026-02-11 00:00:00,True,,840.07,False,False,SERVICE_NOT_DELIVERED,delivery issue,USER CLAIMS ACCOUNT WAS COMPROMISED BEFORE TRANSACTION.,IN_PROGRESS,CRITICAL,EMAIL
CBK0001760,TXN00017025,True,USR79110,False,MCH1320,True,,2026-03-24 23:17:18,,True,,,False,True,FRAUD_SUSPECTED,FRAUD,user says upi pin was not entered by them.,RESOLVED,LOW,IVR
CBK0002232,TXN00009269,True,USR99886,True,MCH1941,True,2026-01-26 19:24:45,2026-01-29 17:24:45,,True,2.0,385.53,False,False,SERVICE_NOT_DELIVERED,Merchant Not Delivered,Payment made to unknown merchant as per customer statement.,CLOSED,MEDIUM,CHATBOT
CBK0002798,TXN00066039,False,USR24087,False,MCH6965,True,2026-01-14 00:00:00,2026-01-22 06:27:51,2026-02-09 00:00:00,True,8.0,1372.0,False,False,SERVICE_NOT_DELIVERED,Service Not Provided,User reports money deducted but merchant denies receiving payment.,RESOLVED,LOW,CHATBOT
CBK0000080,TXN00007630,True,USR70905,False,MCH7833,True,2026-01-11 19:35:00,2026-01-12 06:35:00,2026-01-24 00:00:00,True,0.0,963.14,False,False,DUPLICATE_DEBIT,Duplicate Debit,user claims account was compromised before transaction.,IN_PROGRESS,LOW,BRANCH
CBK0000789,TXN00006632,True,USR56899,False,MCH7296,False,2026-03-28 00:00:00,2026-04-03 00:00:00,,True,6.0,4124.85,False,False,FRAUD_SUSPECTED,fraud,Merchant service was not delivered after payment.,IN_PROGRESS,LOW,EMAIL
CBK0002564,TXN00013473,True,USR78994,True,MCH2383,True,2026-02-16 02:17:00,2026-02-26 00:00:00,2026-03-04 00:00:00,True,9.0,2485.28,False,False,GENERAL_DISPUTE,Customer Dispute,Customer says amount was debited twice.,PENDING_BANK,MEDIUM,CHATBOT
CBK0000359,TXN00014970,True,USR35935,False,MCH3100,False,,2026-02-20 00:00:00,2026-03-12 18:19:47,True,,3336.7,False,False,ACCOUNT_TAKEOVER,Account Takeover,user reports money deducted but merchant denies receiving payment.,IN_PROGRESS,MEDIUM,CHATBOT
CBK0002003,TXN00015085,True,USR71636,True,MCH4256,False,2026-01-16 00:00:00,2026-01-18 06:11:00,2026-02-09 00:00:00,True,2.0,956.46,True,False,SERVICE_NOT_DELIVERED,Merchant Not Delivered,suspicious high-value payment disputed by customer.,IN_PROGRESS,MEDIUM,APP
CBK0002463,TXN00014364,True,USR87498,False,MCH4089,True,2026-01-19 00:00:00,2026-01-21 17:18:16,2026-02-11 00:00:00,True,2.0,2489.04,False,False,FRAUD_SUSPECTED,suspicious transaction,Customer says amount was debited twice.,RESOLVED,LOW,CHATBOT
CBK0001171,TXN00006955,True,USR26685,False,MCH3901,False,,2026-02-16 16:57:27,2026-02-19 00:00:00,True,,1336.86,False,False,ACCOUNT_TAKEOVER,ATO,payment made to unknown merchant as per customer statement.,OPEN,LOW,CHATBOT
CBK0002716,TXN00003119,True,USR34955,False,MCH8691,False,,2026-02-24 21:58:58,,True,,1198.29,False,False,FRAUD_SUSPECTED,suspicious transaction,Payment made to unknown merchant as per customer statement.,CLOSED,LOW,EMAIL
CBK0001839,TXN00004638,True,USR67862,False,MCH8953,True,2026-02-12 09:49:00,2026-02-12 11:49:00,2026-02-17 00:00:00,True,0.0,1651.94,False,False,AMOUNT_MISMATCH,extra amount deducted,User reports money deducted but merchant denies receiving payment.,IN_PROGRESS,HIGH,EMAIL
CBK0002314,TXN00014145,True,USR21162,False,MCH2383,True,2026-03-09 00:00:00,2026-03-10 21:03:16,2026-04-07 00:00:00,True,1.0,3888.0,False,False,FRAUD_SUSPECTED,suspicious transaction,Complaint received after multiple failed attempts.,CLOSED,LOW,IVR
CBK0000406,TXN00007974,True,USR33394,False,MCH3064,False,,2026-03-11 00:00:00,2026-03-20 06:27:39,True,,4101.89,False,False,AMOUNT_MISMATCH,Wrong Amount,user claims account was compromised before transaction.,OPEN,LOW,IVR
CBK0002718,TXN00013934,True,USR84084,False,MCH7370,True,2026-02-20 00:00:00,2026-03-22 23:15:17,2026-04-04 00:00:00,True,30.0,7727.87,False,False,ACCOUNT_TAKEOVER,Account Takeover,User claims account was compromised before transaction.,OPEN,LOW,IVR
CBK0002400,TXN00015733,True,USR87357,False,MCH9878,False,2026-01-22 00:00:00,2026-01-25 00:00:00,2026-02-22 00:00:00,True,3.0,2313.86,False,False,UNAUTHORIZED_TRANSACTION,UNAUTHORISED,customer complaint text unclear due to poor call center notes.,CLOSED,MEDIUM,IVR
CBK0002758,,False,USR60667,True,MCH2383,True,2026-03-23 06:19:08,2026-03-25 00:00:00,2026-04-13 00:00:00,True,1.0,1225.29,False,False,FRAUD_SUSPECTED,fraud,payment made to unknown merchant as per customer statement.,IN_PROGRESS,MEDIUM,BRANCH
CBK0002250,TXN00008645,True,USR60783,False,MCH8613,True,2026-01-12 12:57:11,2026-01-19 00:00:00,,True,6.0,5443.5,False,False,UNAUTHORIZED_TRANSACTION,Unauthorized Transaction,PAYMENT MADE TO UNKNOWN MERCHANT AS PER CUSTOMER STATEMENT.,CLOSED,HIGH,CALL_CENTER
CBK0000661,TXN00012553,True,USR87727,False,MCH8876,True,2026-01-21 17:03:00,2026-01-23 00:00:00,2026-02-15 06:03:00,True,1.0,901.62,False,False,GENERAL_DISPUTE,no service,User claims account was compromised before transaction.,RESOLVED,LOW,IVR
CBK0001020,TXN00084758,False,USR36590,False,MCH1368,False,2026-02-23 00:00:00,2026-02-26 00:00:00,2026-03-15 00:00:00,True,3.0,,False,True,SERVICE_NOT_DELIVERED,Service Not Provided,User says UPI PIN was not entered by them.,OPEN,HIGH,IVR
CBK0002104,TXN00006293,True,USR48479,False,MCH8779,True,2026-01-08 00:00:00,2026-01-19 00:00:00,,True,11.0,2214.27,False,False,GENERAL_DISPUTE,DUP_DEBIT,Complaint received after multiple failed attempts.,REJECTED,LOW,BRANCH
CBK0002572,TXN00002760,True,USR49176,True,MCH2925,False,2026-01-15 14:26:16,2026-01-30 00:00:00,2026-02-09 00:00:00,True,14.0,1345.79,False,False,UNAUTHORIZED_TRANSACTION,unauth txn,User says UPI PIN was not entered by them.,RESOLVED,LOW,IVR
CBK0000929,TXN00014710,True,USR38547,True,MCH5541,True,2026-01-23 13:11:04,2026-02-03 12:11:04,2026-02-04 12:11:00,True,10.0,3089.13,False,False,UNAUTHORIZED_TRANSACTION,Unauthorized Transaction,Merchant service was not delivered after payment.,OPEN,MEDIUM,IVR
CBK0002608,TXN00012654,True,USR13367,False,MCH8076,True,2026-03-29 04:01:37,,2026-04-24 19:01:00,True,,326.32,False,False,ACCOUNT_TAKEOVER,account hacked,User claims account was compromised before transaction.,RESOLVED,LOW,APP
CBK0002430,TXN00019681,True,USR37650,True,MCH5655,False,2026-01-29 00:00:00,2026-02-04 00:00:00,2026-02-15 00:00:00,True,6.0,9661.7,False,False,SERVICE_NOT_DELIVERED,not delivered,Customer says amount was debited twice.,RESOLVED,HIGH,IVR
CBK0002156,TXN00013206,True,USR11987,True,MCH6665,True,2026-01-24 09:52:00,2026-01-25 04:52:00,,True,0.0,26477.69,False,False,GENERAL_DISPUTE,Customer Dispute,Complaint received after multiple failed attempts.,IN_PROGRESS,HIGH,EMAIL
CBK0000366,TXN00002078,True,USR73403,False,MCH5076,False,2026-03-02 18:29:32,2026-03-04 00:00:00,,True,1.0,6907.46,False,False,AMOUNT_MISMATCH,extra amount deducted,Customer says transaction was not authorized.,CLOSED,LOW,CALL_CENTER
CBK0000432,TXN00094213,False,USR96958,False,MCH7286,False,2026-01-29 00:00:00,2026-02-01 00:00:00,2026-02-02 00:00:00,True,3.0,1411.26,True,False,UNAUTHORIZED_TRANSACTION,unauth txn,User reports money deducted but merchant denies receiving payment.,RESOLVED,HIGH,EMAIL
CBK0001972,TXN00001376,True,USR12133,False,MCH6555,True,2026-02-01 02:24:08,2026-02-06 04:24:08,,True,5.0,1261.15,False,False,SERVICE_NOT_DELIVERED,item not received,Merchant service was not delivered after payment.,CLOSED,MEDIUM,CHATBOT
CBK0001250,TXN00015587,True,USR11697,False,MCH8741,True,2026-02-02 00:00:00,2026-02-05 00:00:00,,True,3.0,11364.57,False,False,GENERAL_DISPUTE,no service,Complaint received after multiple failed attempts.,PENDING_BANK,LOW,APP
CBK0001283,TXN00002013,True,USR31545,False,MCH5974,True,,2026-03-04 02:59:29,2026-03-28 00:00:00,True,,439.0,False,False,UNAUTHORIZED_TRANSACTION,unauth txn,Suspicious high-value payment disputed by customer.,REJECTED,MEDIUM,CALL_CENTER
CBK0000973,TXN00016040,True,USR25345,False,MCH3851,False,2026-02-04 00:00:00,2026-02-06 00:00:00,2026-03-07 00:00:00,True,2.0,3127.0,False,False,UNAUTHORIZED_TRANSACTION,unauth txn,Complaint received after multiple failed attempts.,PENDING_BANK,LOW,IVR
CBK0000578,TXN00006468,True,USR71457,True,MCH6810,False,2026-01-09 11:52:43,2026-01-11 20:52:43,2026-01-13 00:00:00,True,2.0,7884.04,False,False,UNAUTHORIZED_TRANSACTION,UNAUTHORISED,Suspicious high-value payment disputed by customer.,IN_PROGRESS,LOW,IVR
CBK0001696,TXN00019601,True,USR19556,False,MCH5844,False,2026-03-08 00:00:00,2026-03-09 13:14:00,2026-04-03 00:00:00,True,1.0,9956.85,False,False,ACCOUNT_TAKEOVER,ATO,Suspicious high-value payment disputed by customer.,CLOSED,HIGH,CHATBOT
CBK0002333,TXN00002832,True,USR10042,False,MCH1611,True,2026-03-02 13:26:00,2026-03-05 00:00:00,2026-04-04 00:00:00,True,2.0,8214.17,False,False,ACCOUNT_TAKEOVER,Account Takeover,Merchant service was not delivered after payment.,REJECTED,MEDIUM,IVR
CBK0001122,TXN00015275,True,USR61052,False,MCH8979,False,2026-03-07 00:00:00,2026-03-13 16:27:48,2026-04-11 16:27:48,True,6.0,320.53,False,False,SERVICE_NOT_DELIVERED,not delivered,Complaint received after multiple failed attempts.,REJECTED,MEDIUM,IVR
CBK0000959,TXN00011129,True,USR50320,False,MCH6319,False,2026-02-07 00:00:00,2026-03-09 11:52:00,,True,30.0,4888.42,False,False,UNAUTHORIZED_TRANSACTION,unauth txn,User reports money deducted but merchant denies receiving payment.,CLOSED,MEDIUM,EMAIL
CBK0001968,,False,USR46599,False,MCH1320,True,2026-03-21 00:00:00,2026-03-23 00:00:00,2026-04-13 03:36:00,True,2.0,2799.09,False,False,GENERAL_DISPUTE,dispute raised,Customer says amount was debited twice.,PENDING_BANK,MEDIUM,EMAIL
CBK0001828,TXN00016623,True,USR59679,False,MCH8755,True,2026-01-05 00:00:00,2026-01-15 08:21:37,2026-02-03 08:21:37,True,10.0,818.66,False,False,ACCOUNT_TAKEOVER,account hacked,Customer says amount was debited twice. pls check asap,PENDING_BANK,HIGH,BRANCH
CBK0001654,TXN00012039,True,USR76792,False,MCH6492,True,2026-02-05 00:00:00,2026-02-07 05:28:28,2026-02-22 05:28:00,True,2.0,966.0,False,False,AMOUNT_MISMATCH,extra amount deducted,User reports money deducted but merchant denies receiving payment.,IN_PROGRESS,HIGH,CALL_CENTER
CBK0002440,TXN00014010,True,USR71922,True,MCH6703,False,2026-01-31 08:39:15,2026-02-01 08:39:00,,True,0.0,1883.55,False,False,UNAUTHORIZED_TRANSACTION,unauth txn,complaint received after multiple failed attempts.,IN_PROGRESS,HIGH,IVR
CBK0001278,TXN00008385,True,USR17657,False,MCH3542,False,2026-02-20 00:00:00,2026-04-06 00:00:00,,True,45.0,1944.27,False,False,GENERAL_DISPUTE,dispute raised,PAYMENT MADE TO UNKNOWN MERCHANT AS PER CUSTOMER STATEMENT.,RESOLVED,LOW,CHATBOT
CBK0002370,TXN00001816,True,USR24664,False,MCH3992,False,2026-03-25 00:00:00,2026-03-26 19:41:41,2026-04-13 00:00:00,True,1.0,6501.45,False,False,GENERAL_DISPUTE,DUP_DEBIT,Payment made to unknown merchant as per customer statement.,PENDING_BANK,LOW,CALL_CENTER
CBK0001105,TXN00019695,True,USR34180,False,MCH6310,False,2026-03-04 00:00:00,,,True,,1782.96,False,False,DUPLICATE_DEBIT,Duplicate Debit,User reports money deducted but merchant denies receiving payment.,OPEN,MEDIUM,CHATBOT
CBK0000180,TXN00019503,True,USR70812,True,MCH3936,True,2026-01-18 00:00:00,2026-01-22 00:00:00,2026-02-02 00:00:00,True,4.0,1537.27,False,False,SERVICE_NOT_DELIVERED,not delivered,user claims account was compromised before transaction.,IN_PROGRESS,LOW,BRANCH
CBK0000369,TXN00008758,True,USR86274,False,MCH3418,True,2026-03-18 04:15:38,2026-03-20 15:15:38,,True,2.0,11352.0,False,False,UNAUTHORIZED_TRANSACTION,UNAUTHORISED,User says UPI PIN was not entered by them.,IN_PROGRESS,MEDIUM,IVR
CBK0002303,TXN00016593,True,USR96415,True,MCH1320,True,2026-01-11 00:00:00,2026-01-13 00:00:00,2026-01-22 01:23:48,True,2.0,6511.97,False,False,UNAUTHORIZED_TRANSACTION,Unauthorized Transaction,Customer complaint text unclear due to poor call center notes.,RESOLVED,MEDIUM,IVR
CBK0001525,TXN00004103,True,USR18453,False,MCH7793,False,,2026-01-28 00:00:00,2026-02-01 00:00:00,True,,4864.83,False,False,ACCOUNT_TAKEOVER,ATO,User claims account was compromised before transaction.,CLOSED,MEDIUM,EMAIL
CBK0000316,TXN00016400,True,USR40842,False,MCH3815,False,2026-03-18 00:00:00,2026-04-18 00:00:00,2026-05-03 00:00:00,True,31.0,1616.81,False,False,AMOUNT_MISMATCH,Wrong Amount,COMPLAINT RECEIVED AFTER MULTIPLE FAILED ATTEMPTS.,RESOLVED,MEDIUM,CHATBOT
CBK0001238,TXN00006193,True,USR35817,True,MCH7061,True,2026-03-12 00:00:00,2026-03-13 00:00:00,2026-04-10 00:00:00,True,1.0,26207.56,False,False,FRAUD_SUSPECTED,FRAUD,Customer says amount was debited twice.,IN_PROGRESS,LOW,APP
CBK0002585,TXN00018187,True,USR23937,True,MCH4560,True,2026-03-24 00:00:00,2026-03-27 00:00:00,2026-04-14 14:38:55,True,3.0,,False,True,ACCOUNT_TAKEOVER,ATO,Customer complaint text unclear due to poor call center notes.,RESOLVED,MEDIUM,CHATBOT
CBK0001427,TXN00019824,True,USR76289,True,MCH5563,True,2026-01-06 00:00:00,2026-02-05 00:00:00,2026-03-03 08:07:00,True,30.0,755.08,False,False,GENERAL_DISPUTE,no service,Suspicious high-value payment disputed by customer.,REJECTED,CRITICAL,EMAIL
CBK0002514,TXN00001801,True,USR99493,False,MCH3992,False,2026-03-12 14:53:38,,2026-03-19 00:00:00,True,,4455.8,False,False,SERVICE_NOT_DELIVERED,not delivered,Customer says transaction was not authorized.,PENDING_BANK,LOW,BRANCH
CBK0001680,TXN00009645,True,USR11085,False,MCH7073,False,2026-01-31 16:31:00,2026-02-02 00:00:00,,True,1.0,3937.19,False,False,SERVICE_NOT_DELIVERED,not delivered,Complaint received after multiple failed attempts.,OPEN,MEDIUM,CHATBOT
CBK0002041,TXN00015934,True,USR69637,True,MCH2240,True,,2026-03-24 00:00:00,2026-04-17 00:00:00,True,,1508.23,False,False,GENERAL_DISPUTE,complaint,Customer complaint text unclear due to poor call center notes.,CLOSED,HIGH,CHATBOT
CBK0002780,TXN00040959,False,USR75376,False,MCH4293,False,2026-02-26 00:00:00,2026-03-13 00:00:00,,True,15.0,823.15,False,False,SERVICE_NOT_DELIVERED,item not received,User says UPI PIN was not entered by them.,IN_PROGRESS,HIGH,CHATBOT
CBK0000294,TXN00019876,True,USR55690,False,MCH6739,False,,,2026-03-20 23:37:00,True,,2134.32,False,False,DUPLICATE_DEBIT,Duplicate Debit,CUSTOMER COMPLAINT TEXT UNCLEAR DUE TO POOR CALL CENTER NOTES.,PENDING_BANK,LOW,IVR
CBK0002617,TXN00016671,True,USR60544,False,MCH7838,True,2026-02-09 00:00:00,2026-02-24 00:00:00,2026-03-17 23:17:16,True,15.0,1587.1,False,False,GENERAL_DISPUTE,Customer Dispute,User claims account was compromised before transaction.,REJECTED,LOW,CALL_CENTER
CBK0001175,TXN00061071,False,USR22543,False,MCH3116,False,2026-02-04 15:43:17,2026-02-10 00:00:00,2026-02-22 11:43:00,True,5.0,,False,True,GENERAL_DISPUTE,customer issue,customer says amount was debited twice.,IN_PROGRESS,CRITICAL,CHATBOT
